name,faculty,start_time,days,std_enrolled,class_limit,class_code
INTRODUCTION TO BUSINESS FINANCE,Noureen Ayaz,13:00,MON - WED,40,45,96910
Introduction to Academic Writing,Maria Hassan,10:00,MON - WED,36,37,97222
INTERNATIONAL TRADE,Dr. Aadil Nakhoda,13:00,MON - WED,54,54,97440
INTRODUCTION TO BUSINESS FINANCE,Tahira Maryam Jafferi,11:30,TUE - THU,53,53,96905
PRINCIPLES OF MARKETING,Dr. Nida Aslam Khan,11:30,TUE - THU,44,45,97261
DESIGN & ANALYSIS OF ALGORITHMS,Dr. Shahid Hussain,11:30,MON - WED,90,91,96888
DATA STRUCTURES,Dr. Imran Rauf,08:30,MON - WED,41,41,96908
INTRODUCTION TO STATISTICS,Zohaib Aziz,16:00,FRI - SAT,39,43,96801
CALCULUS - I,Dr. Syed Inayatullah,13:00,TUE - THU,50,50,96804
FINANCIAL MANAGEMENT,Dr. Nauman J. Amin,11:30,TUE - THU,35,45,97697
Real Analysis -1,Ahmad Raza,11:30,MON - WED,25,40,97238
MICROECONOMICS,Dr. Khadija Malik Bari,08:30,TUE - THU,48,48,96743
SPEECH COMMUNICATION,Samina Wahid Perozani,17:30,MON - WED,22,25,96664
SPEECH COMMUNICATION,Zunaira Nadeem,10:00,MON - WED,35,38,97155
INTRODUCTION TO DIFFERENTIAL EQUATIONS,Dr. Shabana Nisar,16:00,MON - WED,36,40,97407
FINANCIAL MANAGEMENT,Dr. Nauman J. Amin,13:00,TUE - THU,46,47,97389
MICROECONOMICS,SYED AHMED,14:30,TUE - THU,57,57,97067
PRINCIPLES OF MARKETING,Syed Atif Murtaza Qaiser,11:30,FRI - SAT,49,49,97157
INTRODUCTION TO STATISTICS,Imran Nasir,13:00,TUE - THU,47,47,97425
CALCULUS - I,SAMREEN ZAMAN,11:30,TUE - THU,39,50,96802
MICROECONOMICS,Dr. Asad Bilal Rizvi,08:30,TUE - THU,49,51,96744
ARABIC LANGUAGE-I (Language Lab),Ubaid Ur Rahman,14:30,MON - WED,26,27,96708
INTRODUCTION TO STATISTICS,Dr. Syed Ali Raza,16:00,TUE - THU,49,49,97426
SPEECH COMMUNICATION,MARIA HAQQANI,10:00,MON - WED,30,30,96662
PAKISTAN HISTORY,Dr. Syed Jaffar Ahmed,10:00,MON - WED,21,45,96694
PAKISTAN HISTORY,Dr. Syed Jaffar Ahmed,10:00,MON - WED,21,45,96694
Introduction to Academic Writing,Shumaila Omar,11:30,MON - WED,23,35,97229
CALCULUS - I,ZULFIQUAR KHAN,17:30,TUE - THU,40,45,97024
ADVERTISING,KIRAN SARDAR KOHATI,16:00,TUE,16,40,97194
MICROECONOMICS,Shafia Imtiaz,16:00,TUE - THU,53,55,96745
STATISTICAL INFERENCE,Dr. Amir Bashir,11:30,MON - WED,48,48,97112
INTRODUCTION TO PROGRAMMING,Samreen Kazi,13:00,TUE - THU,34,40,97124
SPEECH COMMUNICATION,Tehmina Qureshi,10:00,MON - WED,32,36,97205
Data Manipulation & Visualization,ASAD SAJID,08:30,TUE - THU,60,60,97048
STATISTICAL INFERENCE,Dr. Saqib Ur Rehman,11:30,TUE - THU,48,48,96842
FINANCIAL MANAGEMENT,Madeeha Omer Lakhani,11:30,MON - WED,52,52,97370
CALCULUS - I,ZULFIQUAR KHAN,16:00,TUE - THU,46,49,97000
CALCULUS - I,Azeem Hasan,14:30,TUE - THU,44,45,97421
STATISTICAL INFERENCE,Zohaib Aziz,17:30,TUE - THU,49,49,97117
FRENCH LANGUAGE - I,LEROY JOHNS,13:00,MON - WED,32,32,96693
SPEECH COMMUNICATION,MARIA HAQQANI,04:00,MON - WED,17,25,96659
CHINESE LANGUAGE -I,Zhang Jun,11:30,TUE - THU,38,38,97240
INTRODUCTION TO PROGRAMMING,Samreen Kazi,11:30,TUE - THU,41,41,97125
BUSINESS COMMUNICATION,Nadia Sayeed,10:00,TUE - THU,53,53,97293
INTRODUCTION TO COMPUTER VISION,Dr. Tahir Syed,13:00,MON - WED,28,40,97577
BUSINESS COMMUNICATION,Talat Hameed Davis,14:30,MON - WED,42,46,97080
PERSONAL EFFECTIVENESS,Nadia Sayeed,08:30,SAT,263,350,97685
Introduction to Academic Writing,Shumaila Omar,08:30,MON - WED,17,30,97209
CORPORATE LAW,Rahat Aziz,08:30,TUE - THU,11,46,97501
LINEAR ALGEBRA,Dr. Nasir Touheed,10:00,TUE - THU,0,35,97177
BUSINESS INTELLIGENCE,Dr. Imran Khan,10:00,TUE - THU,0,35,97168
Introduction to Academic Writing,Dr. Anum Tariq,11:30,MON - WED,23,25,97769
CALCULUS - I,Dr. Muhammad Imtiaz,13:00,TUE - THU,42,43,96805
INTRODUCTION TO COMPUTER APPLICATIONS,Nadeem Akhtar,08:30,TUE - THU,44,44,97060
CALCULUS - I,Dr. Naveed Ahmad,10:00,TUE - THU,64,70,97091
PRINCIPLES OF MARKETING,Dr. Ubedullah Khoso,14:30,MON - WED,38,40,96696
NUMERICAL ANALYSIS,Maqsood Alam,14:30,TUE - THU,39,40,97446
Management & Organizational Behavior,Hassan Mahmood,13:00,TUE - THU,53,53,97305
NETWORK SECURITY,Muhammad Faraz Hyder,16:00,TUE - THU,0,30,97297
INTRODUCTION TO COMPUTER APPLICATIONS,Engr. Dr. Syed Irfan Nabi,08:30,TUE - THU,43,43,97066
PRINCIPLES OF MARKETING,Sheikh Muhammad Irfan,08:30,TUE - THU,48,40,96650
BUSINESS COMMUNICATION,Fatima Hatim Anjary,10:00,FRI - SAT,53,55,97166
INTRODUCTION TO BUSINESS FINANCE,Dr. Mohsin Zahid Khawaja,14:30,MON - WED,41,45,96655
LINEAR ALGEBRA,NAZISH KANWAL,16:00,MON - WED,56,56,97401
DISCRETE MATHEMATICS,Umar Shahzad,10:00,TUE - THU,45,45,96782
Design Patterns,Aneeq Hashmi,08:30,FRI,43,44,97320
ORGANIZATIONAL BEHAVIOR,Dr. Amer Iqbal Awan,10:00,MON - WED,47,45,96663
PRINCIPLES OF MARKETING,Syed Atif Murtaza Qaiser,11:30,FRI - SAT,49,49,97471
CALCULUS - II,SYED MUJAHID ALI,10:00,TUE - THU,49,49,97434
Introduction to Machine Learning,SOLAT SHEIKH,11:30,TUE - THU,19,40,97247
Constitutional Development in Pakistan,Dr. Syed Jaffar Ahmed,08:30,TUE - THU,12,30,97550
INTRODUCTION TO COMPUTER APPLICATIONS,Ahmed Akhtar,08:30,TUE - THU,44,44,97062
PERSONAL EFFECTIVENESS LVL 1,Nadia Sayeed,08:30,FRI,326,350,97681
SPEECH COMMUNICATION,Rabia Saadi,14:30,MON - WED,32,25,97479
MEDIA MANAGEMENT,Ms Kiran Ali,11:30,MON - WED,54,54,96675
NETWORK SECURITY,Muhammad Waseem Arain,13:00,TUE - THU,0,30,97283
HUMAN RESOURCE MANAGEMENT,Dr. Yasir Mansoor Kundi,14:30,FRI - SAT,87,90,97175
DATABASE SYSTEMS,Ms Abeera Tariq,10:00,MON - WED,42,42,96917
DATABASE SYSTEMS,Dr. Imran Khan,11:30,TUE,19,35,96919
ORGANIZATIONAL BEHAVIOR,Dr. Shahid R. Mir,11:30,TUE - THU,49,49,96940
Neural Networks and Deep Learning,TBA Teacher To be Allocated,08:30,SAT,10,40,97739
STATISTICAL INFERENCE,Syed Muhammad Mudabbir,14:30,TUE - THU,31,40,96821
Management & Organizational Behavior,Hassan Mahmood,11:30,TUE - THU,53,53,97304
INTRODUCTION TO STATISTICS,Muhammad Najam Uddin,17:30,TUE - THU,36,40,97084
CALCULUS - I,Dr. Junaid Alam Khan,10:00,FRI - SAT,41,41,97163
OPERATING SYSTEMS,Muhammad Waseem Arain,11:30,MON - WED,12,35,97244
Islamic Scholarly Tradition,Dr. Amana Raquib,08:30,MON - WED,44,45,96813
NUMERICAL ANALYSIS,Maqsood Alam,08:30,TUE - THU,32,40,97138
PERSONAL EFFECTIVENESS LVL 2,Nadia Sayeed,08:30,FRI,229,350,97682
INTRODUCTION TO STATISTICS,IMRAN SHAHEEN,14:30,TUE - THU,48,48,97416
INTRODUCTION TO COMPUTER APPLICATIONS,Hira Khan,10:00,TUE - THU,41,40,97101
STATISTICAL INFERENCE,Dr. Amir Bashir,08:30,MON - WED,37,41,97111
DISCRETE MATHEMATICS,Umar Shahzad,13:00,MON - WED,51,51,97331
CORPORATE FINANCE,Dr. Mohsin Zahid Khawaja,10:00,MON - WED,20,45,97335
MULTIVARIABLE CALCULUS,Dr. Danish Ali,11:30,MON - WED,40,40,97241
MANAGEMENT ACCOUNTING,DR. ABDUL KAIUM MASUD,11:30,TUE - THU,38,45,96698
MICROECONOMICS,Dr. Zeeshan Atiq,16:00,TUE - THU,59,60,96994
FINANCIAL MODELING,Syed Irfan Ahmed,13:00,TUE - THU,51,51,97378
INTRODUCTION TO PROGRAMMING,Dr. Imran Rauf,10:00,TUE - THU,35,40,97121
CALCULUS - I,SYED SHUJAAT HUSSAIN,16:00,TUE - THU,53,60,97011
PAKISTAN HISTORY,Muhammad  Moiz Khan,16:00,MON - WED,44,45,96710
PAKISTAN HISTORY,Muhammad  Moiz Khan,16:00,MON - WED,44,45,96710
INTRODUCTION TO STATISTICS,Dr. Syed Ali Raza,14:30,TUE - THU,38,40,96808
BORDERS AND BOUNDARIES: SOUTH ASIAN AND MIDDLE EASTERN FEMINIST FICTION,Irum Iqbal Hussain,10:00,MON - WED,25,30,96676
DIGITAL LOGIC DESIGN,MUHAMMAD ZAIN UDDIN,10:00,MON - WED,41,41,96916
