name,faculty,start_time,days,std_enrolled,class_limit,class_code
ESSENTIAL SOFTWARE,MUHAMMAD SHAHID ASHRAF,17:30,FRI - SAT,15,40,97600
INTRODUCTION TO COMPUTING,Jawwad Farid,08:30,TUE,37,40,97752
CALCULUS - I,Anum Abbas,14:30,TUE - THU,0,40,97423
INTRODUCTION TO COMPUTER APPLICATIONS,Nadeem Akhtar,10:00,TUE - THU,41,41,97103
FINANCIAL ACCOUNTING,DR. ABDUL KAIUM MASUD,11:30,MON - WED,48,48,96646
BUSINESS LAW,Mahwish Baasit Hussain,08:30,TUE - THU,51,40,96849
ORGANIZATIONAL BEHAVIOR,Dr. Nasir A. Afghan,14:30,WED,13,46,96700
INTRODUCTION TO STATISTICS,Syed Tauqeer Ahmed,16:00,FRI - SAT,30,41,97203
ORGANIZATIONAL BEHAVIOR,Dr. Amer Iqbal Awan,11:30,MON - WED,55,56,96687
BIG DATA ANALYTICS,Dr. Tariq Mahmood,14:30,TUE - THU,44,45,97686
DATA STRUCTURES,Dr. Mohammad Shoaib Jamall,11:30,MON,29,40,97050
DIGITAL LOGIC DESIGN,MUHAMMAD ZAIN UDDIN,16:00,WED,35,40,97072
PUBLIC FINANCE,Dr. Qazi Masood Ahmed,10:00,FRI - SAT,0,40,97451
Tech Product Marketing,Sumayyah Khurshid Khan,14:30,MON,27,45,97495
SPEECH COMMUNICATION,Syed Farhan Shaukat,08:30,MON - WED,32,25,97474
BUSINESS COMMUNICATION,Sarah Mazhar,10:45,FRI,23,45,97289
SOFTWARE ENGINEERING,Furqan Hussain,17:30,TUE - THU,20,40,97288
DATA STRUCTURES,Dr. Mohammad Shoaib Jamall,11:30,WED,0,38,96929
ISLAMIC BANKING & FINANCE,Dr. Irum Saba,11:30,TUE - THU,65,65,97357
INTRODUCTION TO STATISTICS,Imran Nasir,14:30,TUE - THU,36,40,97154
LINEAR ALGEBRA,Dr. Nasir Touheed,13:00,TUE - THU,39,42,97282
Management & Organizational Behavior,Usman Nazir,08:30,MON - WED,38,42,97296
PRINCIPLES OF MARKETING,Dr. Asim Shabir,13:00,MON - WED,46,46,96689
ESSENTIAL SOFTWARE,MUHAMMAD SHAHID ASHRAF,16:00,FRI - SAT,25,40,97366
MICROECONOMICS,Dr. Khadija Malik Bari,11:30,TUE - THU,38,40,96794
PRINCIPLES OF MICROECONOMICS,Dr. Ateeb Syed,13:00,TUE - THU,53,53,96812
PAKISTAN HISTORY,Dr. Humera Naz,13:00,MON - WED,26,45,96695
PAKISTAN HISTORY,Dr. Humera Naz,13:00,MON - WED,26,45,96695
CALCULUS - II,SYED MUJAHID ALI,08:30,TUE - THU,45,45,97430
Venture Capital and Innovation in Finance,Rabeel Warraich,16:00,THU,107,107,97053
DATABASE SYSTEMS,Dr. Imran Khan,11:30,MON - WED,26,40,97702
Introduction to Academic Writing,Maria Hassan,11:30,MON - WED,28,38,97230
FRENCH LANGUAGE - I,LEROY JOHNS,11:30,TUE - THU,43,32,97202
PAKISTAN HISTORY,Sajjad Ahmad,10:00,MON - WED,29,40,96660
PAKISTAN HISTORY,Sajjad Ahmad,10:00,MON - WED,29,40,96660
PRINCIPLES OF MARKETING,ZEESHAN BHAYANI,10:00,FRI - SAT,26,40,97280
SPEECH COMMUNICATION,Mr Babur Khan Suri,14:30,MON - WED,25,25,96656
ARABIC LANGUAGE-I,Ubaid Ur Rahman,16:00,TUE,35,35,96995
STATISTICAL INFERENCE,Dr. Javed Iqbal,11:30,MON - WED,46,47,96678
Poverty and Income Distribution,Dr. Lubna Naz,10:00,MON - WED,49,51,96823
INTRODUCTION TO STATISTICS,Muhammad Najam Uddin,16:00,TUE - THU,48,48,97051
PAKISTAN HISTORY,Mr Saqib Ahmed,14:30,MON - WED,46,46,96707
PAKISTAN HISTORY,Mr Saqib Ahmed,14:30,MON - WED,46,46,96707
PRINCIPLES OF MARKETING,KIRAN SARDAR KOHATI,16:00,FRI - SAT,0,40,97262
MICROECONOMICS,Muhammad Shahid Waheed,08:30,TUE - THU,40,40,97321
Management & Organizational Behavior,Dr. Sara Khan,13:00,SAT,0,47,97308
PRINCIPLES OF MARKETING,Dr. Farah Naz Baig,13:00,TUE - THU,47,47,97025
HUMAN COMPUTER INTERACTION,Behraj Khan,11:30,MON - WED,31,40,96941
CHINESE LANGUAGE -I,Sobia Akbar,08:30,MON - WED,33,33,96887
MANAGEMENT ACCOUNTING,Dr. Muhammad Asif Jaffer,10:00,MON - WED,37,45,96666
Cloud Computing,Mr SAIYED SHAHAB AHMED,10:00,SAT,46,46,97566
STATISTICAL INFERENCE,Dr. Akhter Raza Syed,08:30,SAT,15,40,96894
FINANCIAL ACCOUNTING,DR. ABDUL KAIUM MASUD,10:00,MON - WED,46,46,96645
Introduction to Philosophy of Religion,Dr. Moiz Hasan,08:30,MON - WED,19,30,97561
FINANCIAL MODELING,Syed Irfan Ahmed,08:30,TUE - THU,41,45,97362
FINANCIAL ACCOUNTING,Ghias Hassan Khan,10:00,MON - WED,47,47,96643
FRENCH LANGUAGE - I,LEROY JOHNS,13:00,TUE - THU,30,32,97281
PRINCIPLES OF MICROECONOMICS,Dr. Ateeb Syed,14:30,TUE - THU,53,54,96984
INTRODUCTION TO COMPUTING,Jawwad Farid,08:30,TUE,30,40,97751
PAKISTAN HISTORY,Dr. Syed Jaffar Ahmed,08:30,MON - WED,32,45,96684
APPLICATION DEVELOPMENT FOR MOBILE DEVICES,Rao Muhammad Noman,08:30,TUE,18,40,97328
Analytical Approach to Marketing Decision,Hassaan Khalid,18:00,FRI - SAT,45,45,97189
PAKISTAN HISTORY,Dr. Syed Jaffar Ahmed,08:30,MON - WED,32,45,96684
MICROECONOMICS,Javeria Younas Abbasi,13:00,TUE - THU,40,40,96811
PRINCIPLES OF MARKETING,NOREEN SALMAN QAYAM,10:00,MON - WED,50,50,97250
PRINCIPLES OF MICROECONOMICS,Sahar Arshad Mahmood,11:30,TUE - THU,51,53,96800
PERSONAL EFFECTIVENESS LVL 1,Nadia Sayeed,08:30,FRI,332,400,97678
INTRODUCTION TO DIFFERENTIAL EQUATIONS,Dr. Shabana Nisar,16:00,TUE - THU,35,40,97445
MANAGEMENT ACCOUNTING,Dr. Danish Godil,16:00,FRI - SAT,0,45,96677
OPERATING SYSTEMS,TASBIHA FATIMA,11:30,MON - WED,42,42,96951
FINANCIAL ACCOUNTING,Zahra Riaz Nakhoda,08:30,MON - WED,18,43,96642
STATISTICAL INFERENCE,Muhammad Najam Uddin,16:00,MON - WED,50,50,97122
WEB BASED APPLICATION DEVELOPMENT,TBA Teacher To be Allocated,13:00,SAT,11,40,97740
ISLAMIC BANKING & FINANCE,Dr. Irum Saba,10:00,TUE - THU,31,45,97353
NUMERICAL ANALYSIS,Dr. Abdul Majid,11:30,TUE - THU,44,45,97183
MICROECONOMICS,Dr. Qazi Masood Ahmed,11:30,FRI - SAT,35,40,97003
NUMERICAL ANALYSIS,Dr. Abdul Majid,16:00,TUE - THU,27,40,97316
CALCULUS - I,Dr. Junaid Alam Khan,11:30,FRI - SAT,18,40,97186
Spanish l,Francisco Javier Merello,14:30,TUE - THU,28,28,96953
History of Art: Foundational Survey,Nageen Jawaid Shaikh,14:30,TUE - THU,17,30,96846
BUSINESS COMMUNICATION,Syed Asim Ali,08:30,SAT,57,57,97324
FINANCIAL ACCOUNTING,Zahra Riaz Nakhoda,10:00,MON - WED,30,45,96644
CALCULUS - I,Dr. Syed Inayatullah,10:00,TUE - THU,23,40,97068
SPEECH COMMUNICATION,Zunaira Nadeem,16:00,MON - WED,18,25,97149
INTRODUCTION TO COMPUTER APPLICATIONS,Ahmed Akhtar,10:00,TUE - THU,40,40,97102
NUMERICAL ANALYSIS,Dr. Abdul Majid,14:30,TUE - THU,40,40,97290
CORPORATE LAW,Mahwish Baasit Hussain,13:00,MON - WED,47,45,97344
MICROECONOMICS,Dr. Asad Bilal Rizvi,10:00,TUE - THU,54,56,96772
INTRODUCTION TO BUSINESS FINANCE,Dr. Mohsin Zahid Khawaja,16:00,MON - WED,28,45,96853
INTRODUCTION TO STATISTICS,Dr. Farah Yasmeen,16:00,TUE - THU,46,46,97001
BUSINESS COMMUNICATION,Nadia Sayeed,08:30,TUE - THU,49,50,97292
PERSONAL EFFECTIVENESS,Nadia Sayeed,08:30,SAT,239,350,97683
PRINCIPLES OF MARKETING,Sheikh Muhammad Irfan,10:00,TUE - THU,52,52,97235
OPERATING SYSTEMS,Dr. Salman Zaffar,14:30,TUE - THU,46,46,97301
LINEAR ALGEBRA,NAZISH KANWAL,16:00,FRI - SAT,40,41,97453
CALCULUS - I,SYED SHUJAAT HUSSAIN,17:30,TUE - THU,22,40,97047
Reading Karachi: History and U,Soha Abdul Rehman Macktoom,14:30,TUE - THU,30,31,96857
STATISTICAL INFERENCE,Syed Muhammad Mudabbir,16:00,TUE - THU,32,40,96997
ARABIC LANGUAGE-I,Abdullah Khan,14:30,TUE - THU,36,36,97444
Essentials of Information Security,Dr. S.M. Faisal Iradat,18:00,FRI,23,45,97576
FINANCIAL ACCOUNTING,Zahra Riaz Nakhoda,13:00,MON - WED,15,45,96648
LINEAR ALGEBRA,Dr. Nasir Touheed,10:00,TUE - THU,21,40,97307
ARABIC LANGUAGE-I,Abdullah Khan,13:00,MON - WED,37,37,97441
BUSINESS COMMUNICATION,Syed Asim Ali,08:30,TUE - THU,1,35,97775
INTRODUCTION TO COMPUTER APPLICATIONS,Engr. Dr. Syed Irfan Nabi,11:30,TUE - THU,42,42,97104
ARABIC LANGUAGE-I (Language Lab),Syed Farid Iqbal,08:30,MON,0,25,96738
DIGITAL LOGIC DESIGN,MUHAMMAD ZAIN UDDIN,14:30,TUE - THU,23,40,97701
LINEAR ALGEBRA,Dr. Hisham bin Zubair,14:30,MON - WED,62,63,97076
INTRODUCTION TO STATISTICS,Mudassir Uddin,16:00,FRI - SAT,32,40,96742
FINANCIAL ACCOUNTING,Ghias Hassan Khan,08:30,MON - WED,45,46,96641
PRINCIPLES OF MICROECONOMICS,Sahar Arshad Mahmood,10:00,TUE - THU,55,55,96774
DATA STRUCTURES,Dr. Syed Ali Raza,14:30,THU,44,43,96938
